anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2024;1418268-0;1418268;0;30806;Pública de gestión directa;A2;Inicial - Jardín;Inicial;3;1;2;0;0;JUNIN;TARMA;HUASAHUASI;UGEL TARMA;Rural
2024;1423045-0;1423045;0;30001-216;Pública de gestión directa;B0;Primaria;Primaria;12;3;9;0;0;JUNIN;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Rural
2024;1423565-0;1423565;0;NUEVA JERUSALEN;Pública de gestión directa;B0;Primaria;Primaria;8;5;3;0;0;JUNIN;HUANCAYO;CHILCA;UGEL HUANCAYO;Urbana
2024;1423573-0;1423573;0;VICTOR RAUL HAYA DE LA TORRE;Pública de gestión directa;A2;Inicial - Jardín;Inicial;42;18;24;0;0;JUNIN;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Rural
2024;1427459-0;1427459;0;735;Pública de gestión directa;A2;Inicial - Jardín;Inicial;24;12;12;1;0;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;UGEL HUANCAYO;Urbana
2024;1427483-0;1427483;0;CLARIDAD;Privada;A2;Inicial - Jardín;Inicial;27;10;17;0;0;JUNIN;HUANCAYO;HUALHUAS;UGEL HUANCAYO;Urbana
2024;1427491-0;1427491;0;CLARIDAD;Privada;B0;Primaria;Primaria;44;23;21;1;1;JUNIN;HUANCAYO;HUALHUAS;UGEL HUANCAYO;Urbana
2024;1427533-0;1427533;0;CARLOS NORIEGA;Privada;B0;Primaria;Primaria;3;1;2;0;0;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;UGEL HUANCAYO;Urbana
2024;1427541-0;1427541;0;CARLOS NORIEGA;Privada;F0;Secundaria;Secundaria;36;19;17;5;10;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;UGEL HUANCAYO;Urbana
2024;1427574-0;1427574;0;MAX PLANCK;Privada;B0;Primaria;Primaria;32;15;17;0;0;JUNIN;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Urbana
2024;1427608-0;1427608;0;SAN JERONIMO;Privada;B0;Primaria;Primaria;131;66;65;0;0;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;UGEL HUANCAYO;Urbana
2024;1427616-0;1427616;0;SAN JERONIMO;Privada;F0;Secundaria;Secundaria;91;53;38;0;0;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;UGEL HUANCAYO;Urbana
